2015-06-10 02:12:02 Debug: Notice (8): Undefined index: turno in [C:\localhost\htdocs\radiobase\app\controllers\users_controller.php, line 115]
2015-06-10 02:16:11 Debug: Notice (8): Undefined variable: link in [C:\localhost\htdocs\radiobase\app\views\layouts\default.ctp, line 78]
2015-06-10 02:19:34 Debug: Notice (8): Undefined index: turno in [C:\localhost\htdocs\radiobase\app\controllers\users_controller.php, line 115]
2015-06-10 02:23:39 Debug: Notice (8): Undefined index: turno in [C:\localhost\htdocs\radiobase\app\controllers\users_controller.php, line 115]
2015-06-10 02:30:16 Debug: Notice (8): Undefined index: turno in [C:\localhost\htdocs\radiobase\app\controllers\users_controller.php, line 115]
2015-06-10 02:47:42 Debug: Notice (8): Undefined index: turno in [C:\localhost\htdocs\radiobase\app\controllers\users_controller.php, line 115]
2015-06-10 06:41:21 Debug: Notice (8): Undefined index: turno in [C:\localhost\htdocs\radiobase_root\app\controllers\users_controller.php, line 115]
2015-06-10 21:24:05 Debug: Notice (8): Undefined index: turno in [C:\localhost\htdocs\radiobase_root\app\controllers\users_controller.php, line 115]
2015-06-11 12:48:17 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-06-11 13:14:25 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-06-12 10:29:28 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-06-15 15:50:32 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-06-15 16:26:05 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-08 11:47:11 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-08 13:52:01 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-08 14:26:26 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-08 16:54:23 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-08 16:59:12 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-08 17:04:09 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-08 17:05:37 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-08 17:10:22 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-29 14:17:51 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-29 14:31:33 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-29 14:47:36 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-29 14:58:08 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-29 15:37:00 Notice: Notice (8): Array to string conversion in [/var/www/html/repository/radiobase_root/app/views/remote_timer/disp.ctp, line 53]
2015-08-29 15:38:00 Notice: Notice (8): Array to string conversion in [/var/www/html/repository/radiobase_root/app/views/remote_timer/disp.ctp, line 53]
2015-08-29 15:54:31 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-08-29 15:55:54 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-10-31 16:10:18 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
2015-11-07 13:57:01 Notice: Notice (8): Undefined index: turno in [/var/www/html/repository/radiobase_root/app/controllers/users_controller.php, line 115]
